"PIH","1347 Property Insurance Holdings, Inc.","7.049","$42M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"FLWS","1-800 FLOWERS.COM, Inc.","9.95","$649.55M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","16.6","$132.52M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","46.62","$1.21B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","7.29","$828.75M","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","35.07","$1.65B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"JOBS","51job, Inc.","35.02","$2.1B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"CAFD","8point3 Energy Partners LP","14.75","$1.17B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","16.2","$1.47B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","18.9","$426.58M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","34.5","$1.02B","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","34.85","$1.84B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","47.2","$1.06B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABEO","Abeona Therapeutics Inc.","4.9","$195.8M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","3.035","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","3.2","$82.42M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","106.09","$4.6B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","2.48","$335.05M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","12.25","$678.6M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","62.3","$2.33B","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","5.8","$292.69M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","39.02","$3.41B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","31.37","$3.8B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","1.35","$14.46M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","19.7","$1.01B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","24.22","$914.22M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","27.38","$290.51M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","5.05","$412.55M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.55","$115.6M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","19.59","$588.71M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","16.86","$588.86M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ACHN","Achillion Pharmaceuticals, Inc.","4.09","$559.02M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","19.46","$2.28B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
